analisis	1
gramatical	1
de	28023
la	16226
lengua	80
awajun	8
pero	2509
entonces	1854
sin	695
embargo	61
como	2468
y	26357
así	844
mismo	521
cuando	1847
mientras	282
luego	260
después	568
hasta	740
yo	973
estoy	276
estaba	935
estaré	39
tú	485
estas	597
estabas	19
estarás	27
él	3908
esta	835
estará	103
aqui	2
hay	572
allí	536
alla	1
cerca	177
lejos	121
dentro	83
abajo	37
encima	39
debajo	87
el	15111
pijuayo	8
está	1511
muy	328
cargado	5
frutos	40
zancudo	3
pica	7
al	3250
niño	352
en	12391
mi	2577
casa	842
tengo	245
un	4019
loro	5
padre	847
lee	8
libro	146
una	2771
telaraña	3
hermano	322
hizo	690
lanza	28
pona	3
ropa	150
usada	13
papá	32
se	5855
pone	77
cinturón	1
gallo	22
canta	11
mediodía	7
víbora	17
mordió	9
a	13244
miperro	1
picaflor	14
ardilla	5
maní	14
botella	6
cangrejo	4
cacao	3
pluma	4
lechuga	1
balsa	4
aguaje	9
corazón	403
abeja	7
erizo	1
aguja	6
flor	21
perro	63
estrella	18
usted	50
ella	705
aquel	178
aquella	30
tigre	10
hormiga	4
árbol	149
caracol	5
papaya	8
papagayo	3
gallina	39
arete	3
frijol	1
perdíz	2
zapote	4
lapicero	2
zorro	4
paujíl	1
venado	13
leña	34
rata	6
cocona	14
carpintero	11
mariposa	4
guacamayo	5
sajino	6
mono	15
paloma	14
rana	9
bujurqui	2
canoa	34
soy	389
bilingüe	13
orgulloso	10
serlo	1
llevo	7
mente	118
que	15704
no	6645
lo	3465
niego	1
me	1443
identifico	1
cualquier	141
lugar	885
igual	39
todas	732
las	4733
personas	505
avergüenzo	3
anhelo	1
grande	217
río	136
es	3820
ser	724
profesional	11
joven	101
demuestra	3
ante	375
mundo	261
surcado	1
entre	831
pongos	1
rocas	21
cerros	2
árboles	71
puedes	73
avanzar	4
defensoria	1
del	5376
pu	2
eblo	2
eres	270
defensoría	10
pueblo	941
naciste	3
buscando	88
justicia	236
paz	233
con	4196
fortaleza	52
persuasión	1
luchando	11
por	5176
los	10490
derechos	211
población	44
tu	2440
ímpetu	1
servicio	15
vocación	2
llegando	13
donde	437
nadie	244
más	952
acudirá	1
defendiendo	2
acuerdo	178
ley	483
constitución	36
caminando	35
siempre	297
rumbos	1
firmes	17
dejando	14
huellas	5
indelebles	1
forjando	1
valores	12
vida	638
recurrentes	1
panamazonía	6
formada	3
territorios	26
históricamente	3
construidos	2
naturaleza	30
pueblos	459
originarios	64
comunidades	107
locales	24
ribereñas	1
campesinas	15
otras	120
quienes	161
hemos	161
fecundado	1
nuestros	290
sentidos	8
realidades	1
e	350
imaginarios	1
sentido	68
territorialidad	1
basado	7
relaciones	24
respeto	64
integración	3
tejido	3
amazónico	1
sus	3230
dimensiones	2
sólo	63
material	10
sino	511
espiritual	11
cultural	29
uso	126
ellas	87
disputa	3
histórica	2
desde	461
violenta	11
llegada	10
sociedades	2
visiones	13
colonialistas	1
expoliadoras	1
mercantilistas	1
enmarca	1
despliegue	2
sistema	30
capitalista	2
modelo	25
desarrollo	97
depredador	1
patriarcal	1
racista	1
instaurado	1
imposición	2
colonialismo	1
generador	2
desigualdades	1
formas	27
este	930
acompañado	8
diversos	13
fundamentalismos	1
incidiendo	1
retroceso	1
vigencia	18
especialmente	21
alcanzados	6
mujeres	197
pesar	22
ello	83
amazónicos	16
andinos	11
resistimos	1
pervivimos	1
indeclinable	1
compromiso	2
defender	5
eso	233
nueve	19
países	34
cuenca	1
amazónica	5
tomando	67
posta	13
macapá	1
reunidos	4
tarapotoperú	1
junto	123
hermanas	191
hermanos	538
latitudes	1
acudimos	1
llamado	101
amazonía	16
convocados	1
viii	3
foro	5
social	39
panamazónico	3
civilizatorio	1
expresa	5
actualmente	9
extractivista	3
“economía	2
verde”	2
implementado	1
través	219
empresas	20
transnacionales	1
nacionales	7
amparados	1
estados	14
dejan	14
lado	206
su	5891
papel	6
garante	1
poniendo	36
serio	25
peligro	63
sostenibilidad	4
soberanía	3
alimentaria	2
aumentando	13
nuestra	206
vulnerabilidad	6
frente	71
impactos	4
cambio	59
climático	3
provocando	4
graves	16
cambios	15
socioculturales	3
escenario	1
limita	2
cada	378
vez	327
autodeterminación	3
son	1102
menos	68
reconocidos	15
violentados	1
tal	111
viene	185
sucediendo	2
consulta	189
previa	24
libre	96
informada	1
cuya	83
aplicación	21
convirtiendo	4
procedimiento	14
administrativo	9
sabemos	28
debe	236
basarse	1
estándares	4
ambientales	27
diálogo	31
intercultural	22
además	72
